Player,Pos'n,Age 7/1/23,Qual    Offer,Old    Club,New Club,Years,Guarantee,Term,Option,Opt Out,AAV,Player Agent,Club Owner,Baseball Ops      head / club GM,Details
"Brantley, Michael",lf,36.047,,HOU,HOU,1,"$12,000,000 ",2023,,,"$12,000,000",Excel,Jim Crane,ABall / BFirkus,
"Carpenter, Matt",1b,37.217,,NYA,SDN,2,"$12,000,000 ",2023-24,,Y,"$6,000,000",SSG,Peter Seidler,A.J. Preller,
"Clevinger, Mike",rhp-s,32.192,,SDN,CHA,1,"$12,000,000 ",2023,,,"$12,000,000",ACES,Jerry Reinsdorf,KWilliams/RHahn,
"Jackson, Luke",rhp,31.311,,ATL,SFN,2,"$11,500,000 ",2023-24,club,,"$5,750,000",Beverly Hills,Greg Johnson,F Zaidi / P Putila,
"Kahnle, Tommy",rhp,33.328,,LAN,NYA,2,"$11,500,000 ",2023-24,,,"$5,750,000",Ballengee,Hal Steinbrenner,Brian Cashman,
"Gallo, Joey",of-3b,29.224,,LAN,MIN,1,"$11,000,000 ",2023,,,"$11,000,000",Boras Corp.,Jim Pohlad,DFalvey /TLevine,
"Boyd, Matt",lhp-s,32.149,,SEA,DET,1,"$10,000,000 ",2023,,,"$10,000,000",Boras Corp.,Chris Ilitch,Scott Harris,
"Gibson, Kyle",rhp-s,35.251,,PHI,BAL,1,"$10,000,000 ",2023,,,"$10,000,000",Rowley Spts,John Angelos,Mike Elias,
"Kimbrel, Craig",rhp,35.034,,LAN,PHI,1,"$10,000,000 ",2023,,,"$10,000,000",SportsMeter,John Middleton,DDombrowski / SFuld,
"Kluber, Corey",rhp-s,37.082,,TBA,BOS,1,"$10,000,000 ",2023,club,,"$10,000,000",Wasserman,John Henry,CBloom/BO'Halloran,
"Martinez, J.D.",rf,35.314,,BOS,LAN,1,"$10,000,000 ",2023,,,"$10,000,000",Boras Corp.,Mark Walter,AFriedman / BGomes,
"Robertson, David",rhp,38.083,,PHI,NYN,1,"$10,000,000 ",2023,,,"$10,000,000",self-represented,Steve Cohen,Billy Eppler,
"Peterson, Jace",2b-3b,33.053,,MIL,OAK,2,"$9,500,000 ",2023-24,,,"$4,750,000",ISE,John Fisher,David Forst,
"Belt, Brandon",1b,36.072,,SFN,TOR,1,"$9,300,000 ",2023,,,"$9,300,000",Excel,Edward Rogers,MShapiro/RAtkins,
"Kiermaier, Kevin",cf,33.070,,TBA,TOR,1,"$9,000,000 ",2023,,,"$9,000,000",Equity Baseball,Edward Rogers,MShapiro/RAtkins,
